"","node_id","node_box_x_min","node_box_x_max","node_box_y_min","node_box_y_max"
"47","78220000180291",484243.635660722,484438.364640853,4938735.9751526,4938914.02460986
"48","78220000180301",484211.142814531,484379.142814531,4938523.51463143,4938736.48521688
"49","78220000180311",484235.029301125,484426.970332977,4938342.89566335,4938527.10413886
"50","78220000180321",484288.79974893,484557.59974819,4938169.19984602,4938370.799847
"51","78220000180341",484664.963471258,484845.036247824,4937927.44401494,4938210.55543689
"52","78220000180351",484844.639690305,485055.360177355,4937942.77041532,4938122.37174374
"53","78220000180361",485053.536532923,485236.463200937,4937941.15351637,4938092.84593554
"54","78220000180371",485232.762382183,485417.237107983,4937852.38659337,4938035.61285702
"55","78220000180381",485409.767874295,485552.231589101,4937717.38592022,4937890.61378314
"56","78220000180391",485418.897434414,485669.10239769,4937534.46123744,4937715.53860874
"57","78220000180401",485400.825939512,485644.317144184,4937324.04768746,4937535.95212603
"58","78220000180411",485334.623084431,485554.177238646,4937173.15590507,4937326.84381405
"59","78220000180441",484874.44956759,485055.550520408,4936789.10681836,4937102.89263467
"60","78220000180451",484663.783225857,484876.216782098,4936767.76044898,4937067.09599635
"61","78220000180461",484454.999961981,484664.999963559,4936739.99965116,4937099.99965116
"62","78220000180471",484274.66359551,484455.33618737,4936744.36088732,4937115.63856499
"63","78220000180481",484064.405841897,484275.594077708,4936765.71393685,4937125.71393685
"64","78220000180491",483884.663592424,484065.336184354,4936784.28553109,4937143.71392118
"65","78220000180501",483674.343348149,483885.656636649,4936775.83575358,4937143.02069168
"66","78220000180511",483464.761365018,483675.238584557,4936798.3686294,4937098.2021015
"67","78220000180521",483284.108767233,483465.89112003,4936759.99972632,4937131.99972632
"68","78220000180531",483074.116836272,483285.883241407,4936736.78888351,4937099.78184757
"69","78220000180541",482895.000029588,483075.000031231,4936702.65055938,4937071.34889357
"70","78220000180551",482684.448821384,482895.551209617,4936641.60871036,4937069.81916352
"71","78220000180561",482504.39825558,482685.601682377,4936631.63348594,4937028.36596682
"72","78220000180661",480675.201498059,480854.798756933,4935911.65755993,4936198.34189282
"73","78220000180671",480495.201489012,480674.798747924,4935860.4078209,4936087.59163188
"74","78220000180681",480313.995815615,480496.004398581,4935774.40782091,4936001.5916319
"75","78220000180691",480166.34833511,480313.651870232,4935723.97052583,4935864.82905388
"76","78220000180701",479971.722119203,480180.278306917,4935560.28003804,4935823.71943632
"77","78220000180711",479837.096029447,480066.904132769,4935463.52797663,4935616.4717791
"78","78220000180721",479677.645243157,480048.354882887,4935283.34627609,4935466.65352189
"79","78220000180731",479612.633603514,479975.937940493,4935075.16416657,4935284.83564694
"80","78220000180741",479619.821072797,479906.178855959,4934894.10930038,4935075.89054449
"81","78220000180751",479589.162237003,479843.409360549,4934683.88918305,4934896.1106132
"82","78220000180761",479496.086184834,479783.913958487,4934503.75818601,4934686.24160358
"83","78220000180771",479455.635610691,479650.364590623,4934325.20125286,4934504.79850963
"84","78220000180781",479352.347876242,479597.652304401,4934145.05157758,4934324.94819411
"85","78220000180791",479279.700100664,479540.299897404,4933964.91719111,4934145.08264121
"86","78220000180811",479231.37494774,479486.624618872,4933572.58392328,4933757.41588961
"87","78220000180821",479352.98489234,479569.414501229,4933378.69471703,4933635.70488103
"88","78220000180841",479742.016180066,479927.983247036,4933192.72557453,4933517.27387601
"89","78220000180851",479924.999693141,480074.999695027,4933176.40680812,4933307.59276875
"90","78220000170271",493015.951953596,493234.048411392,4943094.81591522,4943549.18353631
"91","78220000170281",492824.343809081,493035.656542493,4943039.94120096,4943449.77238579
"92","78220000170291",492645.000158582,492825.000158879,4942967.73485382,4943376.26459791
"93","78220000170301",492464.604830202,492645.39546349,4942895.88627008,4943306.11318173
"94","78220000170311",492284.137085757,492465.86314707,4942861.03656221,4943226.96288975
"95","78220000170381",490934.999881623,491144.999882153,4942878.60183981,4943141.39746092
"96","78220000170391",490724.761371664,490935.238589976,4942884.94005742,4943184.77352951
"97","78220000170401",490544.775102864,490725.224918287,4942915.09800811,4943160.90144396
"98","78220000170411",490333.057381542,490546.942816493,4942816.07770875,4943227.92159258
"99","78220000170421",490155.399234782,490334.601108534,4942791.65022519,4943108.34922656
"100","78220000170431",489973.827755701,490156.172586529,4942719.07365003,4943044.92580174
"101","78220000170441",489794.137079574,489975.863141134,4942655.92548284,4942964.07396922
"102","78220000170451",489584.628393489,489795.371847669,4942605.92346921,4942898.07583218
"103","78220000170461",489405.291359244,489584.708780141,4942538.57288173,4942899.42657043
"104","78220000170471",489194.10881611,489405.891168104,4942521.71393636,4942889.71393636
"105","78220000170481",488984.167614668,489195.832407789,4942448.41969747,4942932.15103245
"106","78220000170491",488804.756198869,488985.243685763,4942518.31038763,4942883.68906421
"107","78220000170501",488594.999985483,488804.999986327,4942529.99965064,4942889.99965064
"108","78220000170511",488413.609028745,488596.391042975,4942523.29614145,4942884.70331069
"109","78220000170521",488204.405858835,488415.594093897,4942496.57107919,4942856.57107919
"110","78220000170531",487994.339111391,488205.661141497,4942499.32791425,4942810.95710144
"111","78220000170551",487604.999981164,487814.999982164,4942589.99965063,4942709.99965063
"112","78220000170561",487424.461243321,487605.538615484,4942584.51259349,4942727.48685824
"113","78220000170571",487197.831039693,487412.168843835,4942612.62659944,4942768.37252761
"114","78220000180011",487004.137058616,487185.863120539,4942532.96254737,4942791.03690475
"115","78220000180021",486823.827742435,487006.172573669,4942478.67003177,4942709.32942014
"116","78220000180031",486645.644904306,486824.355617817,4942386.74639835,4942591.25305278
