"","reach_id","pt_time_UTC","mean_reach_pt_wse_m","mean_reach_pt_wse_precision_m"
"116","78220000171","2022-07-26 02:45:00",51.6402633656288,0.026
"117","78220000171","2022-07-26 03:00:00",51.6396633656288,0.026
"118","78220000171","2022-07-26 03:15:00",51.6368633656288,0.026
"119","78220000171","2022-07-26 03:30:00",51.6368633656288,0.026
"120","78220000171","2022-07-26 03:45:00",51.6364633656288,0.026
"121","78220000171","2022-07-26 04:00:00",51.6354633656288,0.026
"122","78220000171","2022-07-26 04:15:00",51.6362633656288,0.026
"123","78220000171","2022-07-26 04:30:00",51.6348633656288,0.026
"124","78220000171","2022-07-26 04:45:00",51.6350633656288,0.026
"125","78220000171","2022-07-26 05:00:00",51.6348633656288,0.026
"126","78220000171","2022-07-26 05:15:00",51.6342633656288,0.026
"127","78220000171","2022-07-26 05:30:00",51.6348633656288,0.026
"128","78220000171","2022-07-26 05:45:00",51.6348633656288,0.026
"129","78220000171","2022-07-26 06:00:00",51.6338633656288,0.026
"130","78220000171","2022-07-26 06:15:00",51.6334633656288,0.026
"131","78220000171","2022-07-26 06:30:00",51.6348633656288,0.026
"132","78220000171","2022-07-26 06:45:00",51.6334633656288,0.026
"133","78220000171","2022-07-26 07:00:00",51.6358633656288,0.026
"134","78220000171","2022-07-26 07:15:00",51.6354633656288,0.026
"135","78220000171","2022-07-26 07:30:00",51.6344633656288,0.026
"136","78220000171","2022-07-26 07:45:00",51.6346633656288,0.026
"137","78220000171","2022-07-26 08:00:00",51.6348633656288,0.026
"138","78220000171","2022-07-26 08:15:00",51.6350633656288,0.026
"139","78220000171","2022-07-26 08:30:00",51.6334633656288,0.026
"140","78220000171","2022-07-26 08:45:00",51.6342633656288,0.026
"141","78220000171","2022-07-26 09:00:00",51.6348633656288,0.026
"142","78220000171","2022-07-26 09:15:00",51.6356633656288,0.026
"143","78220000171","2022-07-26 09:30:00",51.6368633656288,0.026
"144","78220000171","2022-07-26 09:45:00",51.6346633656288,0.026
"145","78220000171","2022-07-26 10:00:00",51.6342633656288,0.026
"146","78220000171","2022-07-26 10:15:00",51.6364633656288,0.026
"147","78220000171","2022-07-26 10:30:00",51.6366633656288,0.026
"148","78220000171","2022-07-26 10:45:00",51.6352633656288,0.026
"149","78220000171","2022-07-26 11:00:00",51.6366633656288,0.026
"150","78220000171","2022-07-26 11:15:00",51.6360633656288,0.026
"151","78220000171","2022-07-26 11:30:00",51.6368633656288,0.026
"152","78220000171","2022-07-26 11:45:00",51.6364633656288,0.026
"153","78220000171","2022-07-26 12:00:00",51.6376633656288,0.026
"154","78220000171","2022-07-26 12:15:00",51.6362633656288,0.026
"155","78220000171","2022-07-26 12:30:00",51.6370633656288,0.026
"156","78220000171","2022-07-26 12:45:00",51.6382633656288,0.026
"157","78220000171","2022-07-26 13:00:00",51.6376633656288,0.026
"158","78220000171","2022-07-26 13:15:00",51.6362633656288,0.026
"159","78220000171","2022-07-26 13:30:00",51.6352633656288,0.026
"160","78220000171","2022-07-26 13:45:00",51.6358633656288,0.026
"161","78220000171","2022-07-26 14:00:00",51.6352633656288,0.026
"162","78220000171","2022-07-26 14:15:00",51.6350633656288,0.026
"163","78220000171","2022-07-26 14:30:00",51.6350633656288,0.026
"164","78220000171","2022-07-26 14:45:00",51.6362633656288,0.026
"165","78220000171","2022-07-26 15:00:00",51.6342633656288,0.026
"166","78220000171","2022-07-26 15:15:00",51.6344633656288,0.026
"167","78220000171","2022-07-26 15:30:00",51.6346633656288,0.026
"168","78220000171","2022-07-26 15:45:00",51.6346633656288,0.026
"169","78220000171","2022-07-26 16:00:00",51.6336633656288,0.026
"170","78220000171","2022-07-26 16:15:00",51.6342633656288,0.026
"171","78220000171","2022-07-26 16:30:00",51.6346633656288,0.026
"172","78220000171","2022-07-26 16:45:00",51.6336633656288,0.026
"173","78220000171","2022-07-26 17:00:00",51.6352633656288,0.026
"174","78220000171","2022-07-26 17:15:00",51.6346633656288,0.026
"175","78220000171","2022-07-26 17:30:00",51.6360633656288,0.026
"176","78220000171","2022-07-26 17:45:00",51.6354633656288,0.026
"177","78220000171","2022-07-26 18:00:00",51.6370633656288,0.026
"178","78220000171","2022-07-26 18:15:00",51.6364633656288,0.026
"179","78220000171","2022-07-26 18:30:00",51.6370633656288,0.026
"180","78220000171","2022-07-26 18:45:00",51.6374633656288,0.026
"181","78220000171","2022-07-26 19:00:00",51.6362633656288,0.026
"182","78220000171","2022-07-26 19:15:00",51.6366633656288,0.026
"183","78220000171","2022-07-26 19:30:00",51.6364633656288,0.026
"184","78220000171","2022-07-26 19:45:00",51.6368633656288,0.026
"185","78220000171","2022-07-26 20:00:00",51.6372633656288,0.026
"186","78220000171","2022-07-26 20:15:00",51.6364633656288,0.026
"187","78220000171","2022-07-26 20:30:00",51.6356633656288,0.026
"188","78220000171","2022-07-26 20:45:00",51.6372633656288,0.026
"189","78220000171","2022-07-26 21:00:00",51.6368633656288,0.026
"190","78220000171","2022-07-26 21:15:00",51.6372633656288,0.026
"191","78220000171","2022-07-26 21:30:00",51.636141180313,0.026
"192","78220000171","2022-07-26 21:45:00",51.638141180313,0.026
"193","78220000171","2022-07-26 22:00:00",51.6307286057581,0.026
"194","78220000171","2022-07-26 22:15:00",51.6314507910739,0.026
"195","78220000171","2022-07-26 22:30:00",51.6313233574406,0.026
"196","78220000171","2022-07-26 22:45:00",51.6353359319955,0.026
"197","78220000171","2022-07-26 23:00:00",51.6305233574405,0.026
"198","78220000171","2022-07-26 23:15:00",51.6323286057581,0.026
"199","78220000171","2022-07-26 23:30:00",51.633962924981,0.026
"200","78220000171","2022-07-26 23:45:00",51.633162924981,0.026
"201","78220000171","2022-07-27 00:00:00",51.632691367065,0.026
"202","78220000171","2022-07-27 00:15:00",51.6300517995246,0.026
"203","78220000171","2022-07-27 00:30:00",51.6312913670651,0.026
"204","78220000171","2022-07-27 00:45:00",51.630962924981,0.026
"205","78220000171","2022-07-27 01:00:00",51.6306913670651,0.026
"206","78220000171","2022-07-27 01:15:00",51.6310913670651,0.026
"207","78220000171","2022-07-27 01:30:00",51.6310913670651,0.026
"208","78220000171","2022-07-27 01:45:00",51.6298913670651,0.026
"209","78220000171","2022-07-27 02:00:00",51.6304913670651,0.026
"210","78220000171","2022-07-27 02:15:00",51.6294913670651,0.026
"211","78220000171","2022-07-27 02:30:00",51.628491367065,0.026
"212","78220000171","2022-07-27 02:45:00",51.6276913670651,0.026
"213","78220000171","2022-07-27 03:00:00",51.6262913670651,0.026
"214","78220000171","2022-07-27 03:15:00",51.626091367065,0.026
"215","78220000171","2022-07-27 03:30:00",51.6240913670651,0.026
"216","78220000171","2022-07-27 03:45:00",51.6238913670651,0.026
"217","78220000171","2022-07-27 04:00:00",51.624891367065,0.026
"218","78220000171","2022-07-27 04:15:00",51.6232913670651,0.026
"219","78220000171","2022-07-27 04:30:00",51.6232913670651,0.026
"220","78220000171","2022-07-27 04:45:00",51.6226913670651,0.026
"221","78220000171","2022-07-27 05:00:00",51.6214913670651,0.026
"222","78220000171","2022-07-27 05:15:00",51.623091367065,0.026
"223","78220000171","2022-07-27 05:30:00",51.6210913670651,0.026
"224","78220000171","2022-07-27 05:45:00",51.6226913670651,0.026
"225","78220000171","2022-07-27 06:00:00",51.622491367065,0.026
